event_id,time,best_v_km_s,peak_energy,peak_percentile_rank,noise_percentile,noise_energy,signal_percentile,signal_ref_energy,Percentile_energy_ratio,winlen_s,num_stations,min_valid_stations_per_v,min_total_stations,n_files
5,2021-07-29 08:16:23.630000+00:00,2.6442953020134228,1079381182.215605,100.0,50.0,95792493.49498133,90.0,725104159.8317684,7.56953006834254,1.0,10,3,3,2
50,2021-07-29 12:43:18.300000+00:00,2.563758389261745,2860521459.7796187,100.0,50.0,108326514.06574044,90.0,1431774729.5371141,13.217214103910043,1.0,11,3,3,2
53,2021-07-29 13:15:20.700000+00:00,2.7651006711409396,126572881.59892553,100.0,50.0,5111283.380401323,90.0,94164965.78281996,18.422959318570673,1.0,11,3,3,2
55,2021-07-29 13:30:55.080000+00:00,3.0067114093959733,21152120.6752705,100.0,50.0,3412088.5655550156,90.0,13013863.313674912,3.814046166635202,1.0,10,3,3,2
56,2021-07-29 13:48:44.020000+00:00,2.0805369127516777,44646694.72877309,100.0,50.0,3066995.877972736,90.0,24422588.614135556,7.963032747953585,1.0,11,3,3,2
62,2021-07-29 14:49:57.320000+00:00,2.2818791946308723,17865058.039146632,100.0,50.0,5166271.305322276,90.0,9860363.006724421,1.9086034054321355,1.0,11,3,3,2
63,2021-07-29 14:53:03.640000+00:00,3.328859060402684,46430429.59684438,100.0,50.0,1552729.7034182232,90.0,14809596.669586787,9.537781519207446,1.0,10,3,3,2
64,2021-07-29 14:57:02.980000+00:00,4.25503355704698,738594.318555427,100.0,50.0,246279.65153583727,90.0,506559.61845169036,2.056847227502182,1.0,5,3,3,2
68,2021-07-29 15:30:21.950000+00:00,3.2885906040268456,173587970.69993684,100.0,50.0,21507361.605254088,90.0,114508333.62993829,5.324146017146276,1.0,10,3,3,2
7,2021-07-29 08:26:00.040000+00:00,2.402684563758389,14401911.151303023,100.0,50.0,4059408.8578810347,90.0,7074167.884403696,1.7426596167246704,1.0,6,3,3,2
70,2021-07-29 16:08:42.960000+00:00,3.8523489932885906,4685816.012661386,100.0,50.0,1699140.1097783034,90.0,2826058.323550844,1.6632285397109343,1.0,11,3,3,2
71,2021-07-29 16:09:41.650000+00:00,2.4832214765100673,17506319456.473827,100.0,50.0,1142088853.3253715,90.0,10668342950.660881,9.341079653827565,1.0,11,3,3,2
73,2021-07-29 17:00:24.120000+00:00,2.0805369127516777,58323058.130592324,100.0,50.0,8539443.636022413,90.0,26624599.664621517,3.117837742064305,1.0,11,3,3,2
74,2021-07-29 17:04:04.780000+00:00,2.040268456375839,2877807.9166039424,100.0,50.0,502545.4690125807,90.0,1290631.3796660877,2.5681882720024647,1.0,5,3,3,2
76,2021-07-29 17:23:00.200000+00:00,2.2013422818791946,13428017.183204573,100.0,50.0,980196.8168459649,90.0,6254711.397144148,6.381077034375902,1.0,11,3,3,2
78,2021-07-29 17:33:06.720000+00:00,3.2885906040268456,6536298.685043465,100.0,50.0,617728.1961195201,90.0,4285267.520701404,6.937140877850225,1.0,9,3,3,2
8,2021-07-29 08:40:45.560000+00:00,2.604026845637584,902941283.8659612,100.0,50.0,41613144.73673126,90.0,422995668.1218685,10.16495318481655,1.0,11,3,3,2
80,2021-07-29 17:52:10.500000+00:00,2.6845637583892614,14042954.219240854,100.0,50.0,1390480.6920758646,90.0,7092287.383664254,5.100601125986221,1.0,10,3,3,2
81,2021-07-29 18:14:38.920000+00:00,2.0805369127516777,28644117.858761214,100.0,50.0,1227658.6511612847,90.0,14622345.615138175,11.910758419130916,1.0,10,3,3,2
82,2021-07-29 18:17:45.480000+00:00,2.2416107382550337,7975396.177901267,100.0,50.0,1062868.2225368074,90.0,4310261.86647641,4.055311632319635,1.0,6,3,3,2
83,2021-07-29 18:38:14.600000+00:00,3.12751677852349,44469406.618089385,100.0,50.0,2276076.4318936733,90.0,18327252.783293083,8.052125370871218,1.0,11,3,3,2
84,2021-07-29 18:46:50.320000+00:00,2.2416107382550337,3734925.9280881025,100.0,50.0,336353.27636470133,90.0,1448366.6161985875,4.306087432394004,1.0,7,3,3,2
86,2021-07-29 19:12:07.840000+00:00,2.6442953020134228,846993759.0232612,100.0,50.0,21216430.227665875,90.0,297526312.4968689,14.023391744238836,1.0,10,3,3,2
88,2021-07-29 19:53:30.760000+00:00,2.3624161073825505,14744930.913151922,100.0,50.0,4550440.769094146,90.0,9365440.607171003,2.058139218244429,1.0,11,3,3,2
9,2021-07-29 08:55:58.050000+00:00,2.7651006711409396,899301575.4285097,100.0,50.0,12474341.44529767,90.0,509001047.1000139,40.80384117526998,1.0,6,3,3,2
90,2021-07-29 20:23:39.940000+00:00,2.3221476510067114,13183088.352998143,100.0,50.0,1958582.9172097258,90.0,10878060.322993483,5.554046360462898,1.0,10,3,3,2
91,2021-07-29 20:25:45+00:00,2.2818791946308723,6932839.991846158,100.0,50.0,984622.2562524278,90.0,4063533.0507055395,4.126996952284786,1.0,9,3,3,2
92,2021-07-29 20:31:08.340000+00:00,2.7651006711409396,1220479592.7994833,100.0,50.0,41240768.26673621,90.0,731892912.7129064,17.746830223413497,1.0,11,3,3,2
94,2021-07-29 20:42:34.660000+00:00,3.3691275167785233,4689529.933096197,100.0,50.0,1498474.1317765366,90.0,3925954.0974303717,2.619967882112121,1.0,6,3,3,2
95,2021-07-29 21:00:34.020000+00:00,2.563758389261745,15281397086.507843,100.0,50.0,89939811.60360165,90.0,7675889994.205998,85.34474174836515,1.0,10,3,3,2
96,2021-07-29 21:08:24.640000+00:00,2.563758389261745,5286629.313482088,100.0,50.0,616146.0726886059,90.0,2166591.918677216,3.516360835058329,1.0,6,3,3,2
97,2021-07-29 21:18:25.600000+00:00,4.939597315436242,62636091.96528487,100.0,50.0,24751936.377629172,90.0,48071645.74720703,1.9421367691722995,1.0,11,3,3,2
98,2021-07-29 21:39:48.320000+00:00,2.7651006711409396,1556807062.4489272,100.0,50.0,61425100.7030894,90.0,813334293.3172035,13.241073828248465,1.0,10,3,3,2
