time,latitude,longitude,depth_km,mag,event_id,r_km
2023-02-09 19:38:11+00:00,56.9116666667,-158.0146666667,1.95,0.2,av91088393,11.856964397278318
2023-02-09 21:03:14+00:00,56.9316666667,-158.1386666667,5.21,0.41,av91088408,5.162028165311233
2023-02-09 21:04:11+00:00,56.9185,-158.0286666667,2.43,-0.02,av91088413,11.075721193956408
2023-02-09 22:33:36+00:00,56.9246666667,-158.0245,4.0,-0.27,av91088418,11.43264802276617
2023-02-10 00:26:37+00:00,56.926,-158.0068333333,1.71,0.09,av91088433,12.51757936883887
2023-02-10 00:27:52+00:00,56.8796666667,-158.2028333333,3.08,0.13,av91088438,2.9343234868084163
2023-02-10 01:43:16+00:00,56.8758333333,-158.2,3.04,-0.41,av91088458,3.3818112626801113
2023-02-15 02:14:01+00:00,56.9071666667,-158.0008333333,-2.78,1.18,av91088978,12.683366392237343
2023-02-15 03:24:01+00:00,56.9095,-158.0708333333,4.61,-0.2,av91088983,8.42755458905332
2023-02-15 07:31:31+00:00,56.9113333333,-158.081,-3.2,2.04,av91762136,7.822212753436943
2023-02-15 12:12:03+00:00,56.9075,-158.0698333333,-0.42,1.28,av91089003,8.480738929564918
2023-02-15 15:26:09+00:00,56.8645,-158.1713333333,2.55,0.93,av91089013,5.140402651056326
2023-02-16 20:01:26+00:00,56.866,-158.159,6.25,0.1,av91089153,5.378912460720208
2023-02-17 11:38:42+00:00,56.8965,-158.0518333333,5.5,2.02,av91764356,9.632503604787047
2023-02-17 14:55:03+00:00,56.8576666667,-158.0386666667,6.69,2.66,av91089323,11.68607254115808
2023-02-17 15:22:07+00:00,56.9196666667,-158.083,5.85,0.72,av91089353,7.82900247701968
2023-02-17 18:06:12+00:00,56.9533333333,-158.1471666667,6.8,0.54,av91089368,6.495574544313928
2023-02-17 23:40:30+00:00,56.8845,-158.0991666667,5.22,0.2,av91089393,7.101402729773047
2023-02-17 23:41:12+00:00,56.8826666667,-158.0956666667,4.86,3.26,av91765086,7.371797672689112
2023-02-18 00:23:58+00:00,56.9178333333,-158.005,-1.03,1.74,av91089518,12.498868855509642
2023-02-18 03:10:44+00:00,56.92,-158.0761666667,4.62,0.81,av91089533,8.244486234619062
2023-02-18 15:34:33+00:00,56.8735,-158.172,2.14,0.45,av91089548,4.245400732370875
2023-02-19 01:39:56+00:00,56.8805,-158.1775,3.16,1.02,av91766346,3.4092747886952424
2023-02-19 04:33:18+00:00,56.9236666667,-158.0068333333,-2.45,1.44,av91089818,12.473884613842735
2023-02-19 05:46:13+00:00,56.8713333333,-158.0973333333,4.88,0.27,av91766511,7.814068486456972
2023-02-19 11:05:18+00:00,56.907,-158.0593333333,2.92,-0.26,av91766711,9.119370265260542
2023-02-19 11:32:18+00:00,56.9081666667,-158.0378333333,1.12,0.34,av91766731,10.431437930514722
2023-02-19 14:01:32+00:00,56.8785,-158.1673333333,2.43,1.76,av91766841,3.961195448881949
2023-02-19 17:02:29+00:00,56.8635,-158.1973333333,5.13,0.07,av91766981,4.76382271462631
