event_id,time,best_v_km_s,peak_energy,peak_percentile_rank,noise_percentile,noise_energy,signal_percentile,signal_ref_energy,snr_percentile_ratio,freqmin,freqmax,num_stations,min_valid_stations_per_v,n_files
47,2021-07-29 10:27:25.940000+00:00,2.523489932885906,73906266.43792437,100.0,25.0,2478161.910322847,75.0,24198039.1911667,9.764510983067389,1.0,15.0,11,4,2
49,2021-07-29 10:38:27.890000+00:00,3.8120805369127515,30635499.73913865,100.0,25.0,1126706.3765325006,75.0,10152447.407797683,9.01073040790129,1.0,15.0,11,4,2
53,2021-07-29 10:54:34.550000+00:00,2.604026845637584,18246141.40040449,100.0,25.0,243176.80480723354,75.0,4487097.97780231,18.4519982543534,1.0,15.0,8,4,2
55,2021-07-29 11:05:26.420000+00:00,2.120805369127517,101319953.39492737,100.0,25.0,388667.40492668806,75.0,43034578.63267202,110.72340537738009,1.0,15.0,10,4,2
60,2021-07-29 11:29:52.470000+00:00,3.771812080536913,277518640.61900896,100.0,25.0,188365.08986107705,75.0,120045801.12271032,637.3038720245161,1.0,15.0,10,4,2
62,2021-07-29 11:42:03.340000+00:00,2.040268456375839,23716538.972650312,100.0,25.0,441905.77000961296,75.0,3758263.4335325505,8.504671558035541,1.0,15.0,11,4,2
64,2021-07-29 11:48:29.390000+00:00,2.0,59127769.35209128,100.0,25.0,229259.24312624015,75.0,2067878.0272163423,9.019824016768991,1.0,15.0,8,4,2
68,2021-07-29 12:18:30.230000+00:00,2.523489932885906,43250221.00661464,100.0,25.0,354153.8448122497,75.0,15148542.704987146,42.7739044115643,1.0,15.0,8,4,2
70,2021-07-29 12:28:50.210000+00:00,3.771812080536913,216926899.1317827,100.0,25.0,497881.9585765988,75.0,77120606.45945802,154.8973710152887,1.0,15.0,10,4,2
77,2021-07-29 13:15:20.670000+00:00,2.563758389261745,124320125.15503435,100.0,25.0,800290.5875855533,75.0,46898480.757752866,58.60181474737048,1.0,15.0,11,4,2
78,2021-07-29 13:18:29.120000+00:00,2.926174496644295,339805379.52908516,100.0,25.0,3375239.8071587235,75.0,156308781.99097493,46.310422642993075,1.0,15.0,11,4,2
79,2021-07-29 13:30:55.300000+00:00,2.8456375838926173,22952175.3508519,100.0,25.0,223167.0801722377,75.0,9427402.771765567,42.24369814978809,1.0,15.0,9,4,2
82,2021-07-29 13:48:44.030000+00:00,2.0,40059641.392969996,100.0,25.0,196295.24961286972,75.0,12639079.038910465,64.38810446934936,1.0,15.0,11,4,2
9,2021-07-29 08:16:23.630000+00:00,2.4832214765100673,1075465865.8555415,100.0,25.0,12005372.597221222,75.0,313147871.8474897,26.083977761754042,1.0,15.0,10,4,2
91,2021-07-29 16:08:42.960000+00:00,3.7315436241610738,4619441.5382023025,100.0,25.0,219435.7391437656,75.0,2179470.0012886804,9.932156037083722,1.0,15.0,11,4,2
92,2021-07-29 16:09:41.750000+00:00,2.3624161073825505,16460521720.175783,100.0,25.0,85972921.88744502,75.0,7002692543.063629,81.4523036943131,1.0,15.0,11,4,2
94,2021-07-29 16:38:34.840000+00:00,4.0134228187919465,15870662.345997062,100.0,25.0,369963.8420318413,75.0,6202134.941795604,16.764165134985845,1.0,15.0,10,4,2
95,2021-07-29 17:00:24.120000+00:00,2.0,52918537.53782533,100.0,25.0,366073.68757145497,75.0,18505591.390573137,50.551547458490795,1.0,15.0,11,4,2
96,2021-07-29 17:04:04.780000+00:00,2.120805369127517,1316312.4522589787,100.0,25.0,116204.94972126541,75.0,749459.0859307611,6.449459233263716,1.0,15.0,5,4,2
99,2021-07-29 17:23:00.200000+00:00,2.120805369127517,15453773.085189434,100.0,25.0,171591.06868371833,75.0,3356659.40338638,19.561970381882013,1.0,15.0,11,4,2
