time,latitude,longitude,depth_km,mag,event_id,r_km
2023-03-29 18:35:40.080000+00:00,57.046147,-158.117643,15.54,1.19,6762,16.586995859412582
2023-03-29 18:46:41.040000+00:00,56.870272,-158.079134,6.0,0.38,6763,8.849539273281213
2023-03-29 19:30:27.900000+00:00,56.922567,-158.084115,4.4,0.25,6766,7.832789238678121
2023-03-29 19:42:23.880000+00:00,56.932048,-158.084115,5.84,0.64,6770,8.148327344386724
2023-03-29 19:45:41.400000+00:00,56.935848,-158.102588,5.95,0.27,6772,7.293473708298655
2023-03-29 19:46:39.760000+00:00,56.92373,-157.984733,4.37,1.68,6773,13.80548150410681
2023-03-29 20:59:36.540000+00:00,56.92924,-158.075895,5.17,0.28,6774,8.516822693301721
2023-03-29 21:00:17.320000+00:00,56.873206,-158.14891,2.67,0.01,6775,5.156427872887717
2023-03-29 21:03:53.680000+00:00,56.928276,-158.015446,2.77,0.36,6776,12.051622892864474
2023-03-29 21:06:14.720000+00:00,56.858586,-158.300423,10.74,0.22,6778,7.662045198621099
2023-03-29 21:16:52.680000+00:00,56.863993,-158.224512,3.88,0.04,6781,4.75059862296386
2023-03-29 21:32:05.540000+00:00,56.936157,-157.965039,2.82,0.49,6784,15.237173985873477
2023-03-29 21:49:39.480000+00:00,56.88538,-158.037419,3.59,-0.1,6786,10.700927484724337
2023-03-29 21:50:31.340000+00:00,56.914754,-158.01097,4.37,-0.08,6787,12.104795610408615
2023-03-29 22:27:02.480000+00:00,56.852022,-158.220296,3.41,0.11,6792,6.028066650529578
2023-03-29 22:39:04.760000+00:00,56.921281,-158.012858,0.71,2.3,6796,12.071336701134568
2023-03-29 22:44:21.920000+00:00,56.932227,-158.063118,5.42,0.12,6799,9.359509069672765
2023-03-30 00:02:08.470000+00:00,56.911589,-158.254102,2.64,-0.24,6802,2.8222670625064654
2023-03-30 00:15:23.130000+00:00,56.950842,-158.005013,1.71,0.25,6804,13.39509275701592
2023-03-30 00:21:26.740000+00:00,56.871,-158.044661,11.73,0.07,6805,10.740583692437925
2023-03-30 00:24:02.090000+00:00,56.927437,-158.027751,3.54,0.57,6806,11.29939963890795
2023-03-30 00:26:24.950000+00:00,56.906706,-158.013574,0.79,-0.07,6807,11.906735634093279
2023-03-30 00:40:23.960000+00:00,56.895878,-158.179297,5.16,0.15,6808,2.1205149493126765
2023-03-30 00:49:37.440000+00:00,56.985779,-158.067415,2.34,0.59,6810,12.392537067331132
2023-03-30 01:24:52.970000+00:00,56.932821,-158.087419,5.49,0.3,6815,7.992755117365206
2023-03-30 02:30:54.170000+00:00,56.90024,-158.210693,4.97,0.24,6817,0.6276855659755853
2023-03-30 02:49:28.750000+00:00,56.976628,-158.115202,6.48,0.41,6819,9.736830206718135
2023-03-30 03:41:13.020000+00:00,56.854,-158.2132,4.04,0.64,6821,5.774010746706102
2023-03-30 04:58:21.740000+00:00,56.929057,-158.051888,5.66,0.58,6823,9.913448657405915
2023-03-30 05:26:50.930000+00:00,56.858362,-158.174967,4.71,0.28,6827,5.6754322862840265
2023-03-30 05:29:20.060000+00:00,56.933907,-158.059473,4.58,0.11,6828,9.629478713848068
2023-03-30 06:25:57.510000+00:00,56.926737,-158.011442,1.58,0.45,6829,12.256773097557867
2023-03-30 07:30:55.670000+00:00,56.92677,-157.993799,5.63,0.12,6832,13.313968872571913
2023-03-30 07:32:30.750000+00:00,56.867973,-158.018327,5.81,0.2,6833,12.362519931011885
