time,latitude,longitude,depth_km,magnitude,event_id_mapped
2021-05-11T20:06:28.800000,55.41883333333333,-161.66166666666666,23.63,0.818,3227
2021-05-11T20:10:20.580000,55.29966666666667,-161.924,23.31,0.768,3228
2021-05-11T20:35:41.680000,54.94533333333333,-162.92516666666666,27.06,1.25,3231
2021-05-11T21:13:16.950000,55.2565,-162.24733333333333,2.8,0.337,3234
2021-05-11T21:49:12.690000,55.37083333333333,-161.74266666666668,16.06,0.535,3236
2021-05-11T22:58:11.580000,55.248,-161.92433333333332,19.42,-0.034,3237
2021-05-11T23:08:26.820000,54.845666666666666,-161.2195,14.0,1.333,3238
2021-05-11T23:16:52.830000,55.0405,-162.17166666666665,7.43,0.538,3241
2021-05-12T00:42:03.970000,55.13216666666667,-162.018,16.79,0.123,3244
2021-05-12T00:51:05.140000,55.517,-161.94316666666666,36.81,0.588,3245
2021-05-12T01:48:40.180000,55.225,-161.1195,0.5,1.083,3247
2021-05-12T02:04:41.620000,54.92583333333333,-162.211,1.53,1.765,3249
2021-01-11T07:19:29.290000,54.952333333333335,-162.25266666666667,2.85,3.139,325
2021-05-12T02:29:55.990000,55.381,-160.85266666666666,12.08,1.301,3250
2021-05-12T03:00:24.840000,54.722166666666666,-162.69666666666666,16.99,1.284,3252
2021-05-12T03:14:42.670000,54.68366666666667,-162.10866666666666,61.53,1.051,3253
2021-05-12T03:14:58.140000,54.88,-161.9865,16.59,0.746,3254
2021-05-12T03:26:33.780000,55.29816666666667,-161.544,22.95,0.737,3255
2021-05-12T04:44:40.130000,55.365,-161.94816666666668,14.68,0.35,3256
2021-05-12T05:00:14.020000,55.50333333333333,-161.7155,32.56,0.609,3257
2021-05-12T05:19:01.450000,55.464666666666666,-161.87966666666668,33.62,0.441,3258
2021-05-12T05:34:24.370000,55.404666666666664,-161.87833333333333,20.97,0.822,3259
2021-05-12T06:28:03.200000,55.289,-161.895,16.04,0.489,3260
2021-05-12T08:56:40.830000,55.34,-162.19183333333334,20.39,1.252,3264
2021-05-12T09:38:20.500000,55.0155,-162.21166666666667,3.74,0.162,3268
2021-05-12T10:22:12.890000,55.4105,-161.8185,4.48,0.147,3270
2021-05-12T10:32:30.660000,55.290333333333336,-161.71583333333334,18.23,0.513,3271
2021-05-12T12:14:21.540000,54.79966666666667,-161.4285,15.88,0.725,3274
2021-05-12T12:45:11.040000,55.45883333333333,-161.84516666666667,28.95,0.216,3277
2021-01-11T08:00:31.130000,54.976166666666664,-162.2315,0.44,1.702,328
2021-05-12T15:08:54.990000,55.41733333333333,-161.67333333333335,11.88,0.566,3280
2021-05-12T15:26:01.360000,55.30466666666667,-161.782,25.61,0.369,3281
2021-05-12T15:37:14.680000,55.468666666666664,-161.75533333333334,36.52,0.667,3282
2021-05-12T15:38:58.440000,55.012166666666666,-162.046,4.61,0.095,3283
2021-05-12T17:02:25.670000,54.51233333333333,-161.90266666666668,12.62,0.885,3286
2021-05-12T17:54:00.770000,54.86066666666667,-161.37316666666666,27.48,3.074,3288
2021-05-12T18:14:52.830000,55.143166666666666,-161.69033333333334,35.26,0.883,3290
2021-05-12T18:31:53.070000,55.12083333333333,-162.69483333333332,67.99,1.613,3291
2021-05-12T20:26:39.740000,55.37916666666667,-161.62883333333335,13.77,0.076,3292
2021-05-12T20:51:16.740000,55.263666666666666,-162.082,16.95,0.244,3294
2021-05-12T22:03:26.840000,55.12266666666667,-163.4765,12.36,1.658,3299
