station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
AV.DOL..BH,2021-07-29T16:00:00.000,279827,2021-07-29T17:33:16.540,0.796,P,2021-07-29T16-00-00.mseed,1.4601616840081988e-06,1.4601616840081988e-06
AV.DOL..BH,2021-07-29T16:00:00.000,283050,2021-07-29T17:34:21.000,0.473,P,2021-07-29T16-00-00.mseed,3.7202432849881006e-06,3.7202432849881006e-06
AV.DOL..BH,2021-07-29T16:00:00.000,300163,2021-07-29T17:40:03.260,0.391,P,2021-07-29T16-00-00.mseed,1.7355497448079404e-06,1.7355497448079404e-06
AV.DOL..BH,2021-07-29T16:00:00.000,337167,2021-07-29T17:52:23.340,0.726,P,2021-07-29T16-00-00.mseed,2.2805891148891533e-06,2.2805891148891533e-06
AV.DOL..BH,2021-07-29T16:00:00.000,404166,2021-07-29T18:14:43.320,0.74,P,2021-07-29T16-00-00.mseed,2.2764570530853234e-06,2.2764570530853234e-06
AV.DOL..BH,2021-07-29T16:00:00.000,475182,2021-07-29T18:38:23.640,0.772,P,2021-07-29T16-00-00.mseed,2.904537268477725e-06,2.904537268477725e-06
AV.DOL..BH,2021-07-29T16:00:00.000,476512,2021-07-29T18:38:50.240,0.44,P,2021-07-29T16-00-00.mseed,5.868485004612012e-06,5.868485004612012e-06
AV.DOL..BH,2021-07-29T16:00:00.000,501075,2021-07-29T18:47:01.500,0.625,P,2021-07-29T16-00-00.mseed,1.5503510439884849e-06,1.5503510439884849e-06
AV.DOL..BH,2021-07-29T16:00:00.000,521345,2021-07-29T18:53:46.900,0.917,P,2021-07-29T16-00-00.mseed,1.2897660326416371e-06,1.2897660326416371e-06
AV.DOL..BH,2021-07-29T16:00:00.000,576763,2021-07-29T19:12:15.260,0.544,P,2021-07-29T16-00-00.mseed,8.695596989127807e-07,8.695596989127807e-07
AV.DOL..BH,2021-07-29T16:00:00.000,576801,2021-07-29T19:12:16.020,0.434,P,2021-07-29T16-00-00.mseed,9.345121725345962e-06,9.345121725345962e-06
AV.DOL..BH,2021-07-29T16:00:00.000,640398,2021-07-29T19:33:27.960,0.393,P,2021-07-29T16-00-00.mseed,1.3200411785874167e-06,1.3200411785874167e-06
AV.DOL..BH,2021-07-29T16:00:00.000,701107,2021-07-29T19:53:42.140,0.92,P,2021-07-29T16-00-00.mseed,2.203721578553086e-06,2.203721578553086e-06
AV.DOL..BH,2021-07-29T16:00:00.000,767682,2021-07-29T20:15:53.640,0.374,P,2021-07-29T16-00-00.mseed,1.1135432487208163e-06,1.1135432487208163e-06
AV.DOL..BH,2021-07-29T16:00:00.000,785831,2021-07-29T20:21:56.620,0.582,P,2021-07-29T16-00-00.mseed,2.0267461877665482e-06,2.0267461877665482e-06
AV.DOL..BH,2021-07-29T16:00:00.000,791163,2021-07-29T20:23:43.260,0.719,P,2021-07-29T16-00-00.mseed,2.478951500961557e-06,2.478951500961557e-06
AV.DOL..BH,2021-07-29T16:00:00.000,797566,2021-07-29T20:25:51.320,0.868,P,2021-07-29T16-00-00.mseed,1.6223965531025897e-06,1.6223965531025897e-06
AV.DOL..BH,2021-07-29T16:00:00.000,799286,2021-07-29T20:26:25.720,0.379,P,2021-07-29T16-00-00.mseed,3.6965266190236434e-06,3.6965266190236434e-06
AV.DOL..BH,2021-07-29T16:00:00.000,813842,2021-07-29T20:31:16.840,0.953,P,2021-07-29T16-00-00.mseed,2.4994051273097284e-05,2.4994051273097284e-05
AV.DOL..BH,2021-07-29T16:00:00.000,820362,2021-07-29T20:33:27.240,0.922,P,2021-07-29T16-00-00.mseed,9.830249473452568e-05,9.830249473452568e-05
AV.DOL..BH,2021-07-29T16:00:00.000,847948,2021-07-29T20:42:38.960,0.569,P,2021-07-29T16-00-00.mseed,3.941571321774973e-06,3.941571321774973e-06
AV.DOL..BH,2021-07-29T16:00:00.000,890006,2021-07-29T20:56:40.120,0.814,P,2021-07-29T16-00-00.mseed,1.2399571005516918e-06,1.2399571005516918e-06
AV.DOL..BH,2021-07-29T16:00:00.000,891207,2021-07-29T20:57:04.140,0.34,P,2021-07-29T16-00-00.mseed,2.1172761535126483e-06,2.1172761535126483e-06
AV.DOL..BH,2021-07-29T16:00:00.000,902018,2021-07-29T21:00:40.360,0.333,P,2021-07-29T16-00-00.mseed,6.663029489573091e-05,6.663029489573091e-05
AV.DOL..BH,2021-07-29T16:00:00.000,955791,2021-07-29T21:18:35.820,0.932,P,2021-07-29T16-00-00.mseed,5.561684247368248e-06,5.561684247368248e-06
AV.DOL..BH,2021-07-29T16:00:00.000,1019869,2021-07-29T21:39:57.380,0.918,P,2021-07-29T16-00-00.mseed,2.7098703867523e-05,2.7098703867523e-05
AV.DOL..BH,2021-07-29T16:00:00.000,1076566,2021-07-29T21:58:51.320,0.542,P,2021-07-29T16-00-00.mseed,1.1976528639934259e-06,1.1976528639934259e-06
AV.DOL..BH,2021-07-29T16:00:00.000,1087594,2021-07-29T22:02:31.880,0.827,P,2021-07-29T16-00-00.mseed,1.3059479897492565e-06,1.3059479897492565e-06
AV.DOL..BH,2021-07-29T16:00:00.000,1137503,2021-07-29T22:19:10.060,0.849,P,2021-07-29T16-00-00.mseed,2.286546805407852e-05,2.286546805407852e-05
AV.DOL..BH,2021-07-29T16:00:00.000,1157867,2021-07-29T22:25:57.340,0.601,P,2021-07-29T16-00-00.mseed,1.7851415350378375e-06,1.7851415350378375e-06
