id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id,event_id_mapped
AV.PV6A..SH,2021-01-01T12:48:08.840000,P,0.892,6.200388042998384e-07,8,0.0139235137617281,20210101T080000_8,11
AV.PV6A..SH,2021-01-01T14:58:18.780000,P,0.854,5.463666639116127e-07,10,0.0127293388592828,20210101T080000_10,13
AV.PV6A..SH,2021-01-01T08:32:27.160000,S,0.734,1.326357050857041e-06,2,0.0044279419124002,20210101T080000_2,5
AV.PV6A..SH,2021-01-01T12:44:38.620000,S,0.75,2.727037553995615e-06,7,0.0022557065259423,20210101T080000_7,10
AV.PV6A..SH,2021-01-01T12:48:29.980000,S,0.62,1.2395654493957409e-06,9,0.0110462539851829,20210101T080000_9,12
AV.PV6A..SH,2021-01-01T14:58:27.200000,S,0.533,7.344262940023327e-07,10,0.0110462539851829,20210101T080000_10,13
AV.PVV..SH,2021-01-01T08:32:03.320000,P,0.916,9.098009741137504e-07,1,0.0139235137617281,20210101T080000_1,4
AV.PVV..SH,2021-01-01T11:56:59.080000,P,0.837,6.848657108093903e-07,3,0.0122419146756484,20210101T080000_3,6
AV.PVV..SH,2021-01-01T12:35:24.360000,P,0.947,8.977913239505142e-07,5,0.0103270855451346,20210101T080000_5,8
AV.PVV..SH,2021-01-01T12:44:14.520000,P,0.967,1.1694836530296016e-06,6,0.0022557065259423,20210101T080000_6,9
AV.PVV..SH,2021-01-01T12:48:05.640000,P,0.966,5.516467922461743e-07,8,0.0022557065259423,20210101T080000_8,11
AV.PVV..SH,2021-01-01T14:58:17.420000,P,0.76,6.333336841635173e-07,10,0.0044279419124002,20210101T080000_10,13
AV.PVV..SH,2021-01-01T08:32:23.080000,S,0.564,6.888369625812629e-07,2,0.0139235137617281,20210101T080000_2,5
AV.PVV..SH,2021-01-01T11:57:10.240000,S,0.64,6.848657108093903e-07,3,0.0054572939132581,20210101T080000_3,6
AV.PVV..SH,2021-01-01T12:35:35.420000,S,0.681,4.318505091305269e-07,5,0.0122419146756484,20210101T080000_5,8
AV.PVV..SH,2021-01-01T12:48:24.480000,S,0.493,7.909800388006261e-07,9,0.0044279419124002,20210101T080000_9,12
AV.S12K..BH,2021-01-01T12:44:20.520000,P,0.507,4.7564694796164986e-06,6,3.3152358494317006e-05,20210101T080000_6,9
AV.S12K..BH,2021-01-01T12:44:44.040000,S,0.311,6.319613021332771e-06,7,3.3152358494317006e-05,20210101T080000_7,10
AV.DEER..BH,2021-01-01T17:17:05.080000,P,0.591,4.747897492052289e-06,3,0.007508699723298,20210101T160000_3,16
AV.DEER..BH,2021-01-01T19:49:48.300000,P,0.869,4.1982843868026976e-06,6,0.007508699723298,20210101T160000_6,19
AV.DEER..BH,2021-01-01T20:47:47.780000,P,0.988,1.570253152749501e-05,9,0.007508699723298,20210101T160000_9,22
AV.DEER..BH,2021-01-01T19:49:59.100000,S,0.918,4.1982843868026976e-06,6,0.0050460216047384,20210101T160000_6,19
AV.DEER..BH,2021-01-01T20:47:57.180000,S,0.668,1.570253152749501e-05,9,0.0050460216047384,20210101T160000_9,22
AV.DOL..BH,2021-01-01T16:55:13.080000,P,0.823,4.617926606442779e-06,1,0.007508699723298,20210101T160000_1,14
AV.DOL..BH,2021-01-01T17:17:03.460000,P,0.979,1.0157477845496032e-05,3,0.0050460216047384,20210101T160000_3,16
AV.DOL..BH,2021-01-01T19:49:47.980000,P,0.817,6.431730071199127e-06,5,0.007508699723298,20210101T160000_5,18
AV.DOL..BH,2021-01-01T20:09:11.860000,P,0.91,5.630457053484861e-06,7,0.007508699723298,20210101T160000_7,20
AV.DOL..BH,2021-01-01T20:47:48.860000,P,0.969,1.7913500414579175e-05,10,0.007508699723298,20210101T160000_10,23
AV.DOL..BH,2021-01-01T16:55:40.540000,S,0.665,1.2159601283201482e-05,2,0.007508699723298,20210101T160000_2,15
AV.DOL..BH,2021-01-01T17:17:22.220000,S,0.856,6.726810170221143e-06,4,0.007508699723298,20210101T160000_4,17
AV.DOL..BH,2021-01-01T19:49:58.980000,S,0.827,6.431730071199127e-06,5,0.0050460216047384,20210101T160000_5,18
AV.DOL..BH,2021-01-01T20:47:59.720000,S,0.926,1.7913500414579175e-05,10,0.0050460216047384,20210101T160000_10,23
AV.DOL..BH,2021-01-01T20:53:07.320000,S,0.344,6.422683327400591e-06,12,0.007508699723298,20210101T160000_12,25
AV.DT1..BH,2021-01-01T16:55:16.460000,P,0.755,3.5756947909249e-06,1,0.0050460216047384,20210101T160000_1,14
AV.DT1..BH,2021-01-01T17:17:05.900000,P,0.961,4.139818429393927e-06,3,0.0053675719926568,20210101T160000_3,16
