time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id
2021-07-29T17:22:56.805,1.594,-161.376,55.325,51750.641,0.639,0.215,0.002,13.0,8,20210729T160000_8
2021-07-29T17:28:33.329,1.501,-161.727,55.462,17023.347,0.989,0.337,0.039,6.0,9,20210729T160000_9
2021-07-29T17:33:07.591,1.406,-161.591,55.293,51376.269,0.709,0.261,0.049,10.0,10,20210729T160000_10
2021-07-29T17:34:10.609,1.749,-161.375,55.409,53726.4,0.656,0.277,0.012,11.0,11,20210729T160000_11
2021-07-29T17:52:11.959,1.7,-161.376,55.309,61000.0,0.4,0.256,-0.027,11.0,12,20210729T160000_12
2021-07-29T18:14:38.182,1.341,-161.539,55.188,16048.573,0.64,0.392,0.059,14.003,13,20210729T160000_13
2021-07-29T18:17:44.170,1.045,-161.378,55.107,23829.537,0.531,0.283,0.017,6.762,14,20210729T160000_14
2021-07-29T18:38:14.792,1.736,-161.441,55.262,45179.877,0.635,0.175,0.034,14.627,15,20210729T160000_15
2021-07-29T18:46:50.489,1.532,-161.376,55.321,58026.698,0.357,0.384,0.001,9.943,16,20210729T160000_16
2021-07-29T19:12:08.043,2.046,-161.438,55.26,29984.031,0.512,0.36,0.025,12.009,17,20210729T160000_17
2021-07-29T19:30:33.134,1.712,-161.375,55.405,48425.193,0.99,0.22,-0.012,9.0,18,20210729T160000_18
2021-07-29T19:53:30.453,1.754,-161.375,55.408,61000.0,0.542,0.268,0.032,13.849,19,20210729T160000_19
2021-07-29T20:21:46.896,1.729,-161.544,55.364,51553.542,0.537,0.206,0.002,10.0,20,20210729T160000_20
2021-07-29T20:23:33.394,1.714,-161.377,55.227,52991.154,0.464,0.3,0.058,15.0,21,20210729T160000_21
2021-07-29T20:25:41.557,1.558,-161.493,55.281,53377.926,0.548,0.253,0.014,12.0,22,20210729T160000_22
2021-07-29T20:31:07.563,2.478,-161.463,55.298,47924.865,0.685,0.398,0.006,14.0,23,20210729T160000_23
2021-07-29T20:33:16.082,3.517,-161.383,55.296,59020.929,0.432,0.26,0.001,15.0,24,20210729T160000_24
2021-07-29T20:42:35.882,0.973,-161.832,55.202,9701.95,0.433,0.323,-0.0,5.903,25,20210729T160000_25
2021-07-29T21:00:34.268,2.882,-161.555,55.147,28168.245,0.822,0.222,0.071,17.831,26,20210729T160000_26
2021-07-29T21:08:24.935,2.012,-161.377,55.21,61000.0,0.727,0.254,-0.035,6.659,27,20210729T160000_27
2021-07-29T21:18:27.724,1.841,-161.405,55.245,35114.364,0.355,0.211,0.033,11.363,28,20210729T160000_28
2021-07-29T21:39:48.530,2.59,-161.459,55.272,44197.063,0.69,0.322,0.027,17.0,29,20210729T160000_29
2021-07-29T22:02:20.543,1.462,-161.376,55.289,61000.0,0.374,0.365,0.052,10.0,30,20210729T160000_30
2021-07-29T22:18:58.653,2.745,-161.376,55.306,61000.0,0.481,0.223,-0.013,11.938,31,20210729T160000_31
2021-07-29T22:56:35.098,1.999,-161.375,55.396,61000.0,0.719,0.249,0.067,17.851,32,20210729T160000_32
2021-07-29T23:38:45.926,2.242,-161.376,55.309,58942.208,0.44,0.199,0.008,14.963,33,20210729T160000_33
