time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id,event_id_mapped
2021-07-29T11:17:36.855,1.566,-162.438,55.43,12042.192,0.0,0.064,-0.0,3.958,84,20210729T080000_84,84
2021-07-29T11:24:01.995,2.018,-162.773,54.902,61000.0,0.715,0.424,-0.097,9.256,85,20210729T080000_85,85
2021-07-29T11:24:03.221,1.8,-161.661,54.905,61000.0,0.64,0.406,-0.067,7.744,86,20210729T080000_86,86
2021-07-29T11:29:55.124,1.801,-161.746,55.301,28101.397,0.763,0.198,-0.016,13.991,87,20210729T080000_87,87
2021-07-29T11:30:27.062,1.999,-161.398,55.318,3920.974,0.977,0.305,-0.044,5.999,88,20210729T080000_88,88
2021-07-29T11:31:05.591,2.135,-161.79,54.905,42679.996,0.908,0.216,0.066,10.999,89,20210729T080000_89,89
2021-07-29T11:41:58.654,1.864,-161.13,55.265,61000.0,0.553,0.352,-0.014,10.999,90,20210729T080000_90,90
2021-07-29T11:42:30.155,2.618,-161.06,55.422,58851.973,0.36,0.351,0.015,6.903,91,20210729T080000_91,91
2021-07-29T11:48:29.084,1.296,-161.659,55.272,19994.119,0.352,0.337,0.001,7.639,92,20210729T080000_92,92
2021-07-29T11:48:45.335,2.761,-160.995,55.494,59634.491,0.893,0.339,0.08,5.998,93,20210729T080000_93,93
2021-07-29T11:56:34.974,1.864,-160.995,55.489,58169.283,0.263,0.239,0.026,4.997,94,20210729T080000_94,94
2021-07-29T12:17:21.447,1.22,-161.275,55.304,28257.644,0.233,0.352,0.018,6.867,95,20210729T080000_95,95
2021-07-29T12:18:28.008,1.964,-161.439,55.261,46553.983,0.775,0.234,0.035,12.988,96,20210729T080000_96,96
2021-07-29T12:18:59.001,2.406,-161.117,55.471,0.0,0.238,0.169,0.02,3.528,97,20210729T080000_97,97
2021-07-29T12:24:01.638,2.238,-162.406,55.82,61000.0,0.758,0.087,-0.022,5.861,98,20210729T080000_98,98
2021-07-29T12:24:35.503,2.33,-161.398,55.768,0.0,1.007,0.203,-0.112,4.97,99,20210729T080000_99,99
2021-07-29T12:32:39.157,1.96,-161.13,55.384,61000.0,0.336,0.234,0.032,12.976,100,20210729T080000_100,100
2021-07-29T16:00:18.809,1.72,-161.293,55.152,61000.0,0.846,0.243,0.043,10.0,1,20210729T160000_1,101
2021-07-29T16:00:34.166,2.048,-161.122,55.133,61000.0,0.171,0.271,-0.009,4.418,2,20210729T160000_2,102
2021-07-29T16:00:48.462,1.688,-161.973,55.651,1740.09,0.309,0.217,0.009,5.446,3,20210729T160000_3,103
2021-07-29T16:08:49.470,1.063,-161.633,55.246,19145.039,0.395,0.351,0.01,8.725,4,20210729T160000_4,104
2021-07-29T16:09:43.264,3.212,-161.45,55.283,57375.627,0.565,0.202,0.021,13.0,5,20210729T160000_5,105
2021-07-29T16:26:50.871,1.269,-161.546,55.177,61000.0,0.222,0.359,0.004,4.0,6,20210729T160000_6,106
2021-07-29T16:30:46.613,1.968,-161.004,55.079,61000.0,1.055,0.08,0.015,3.989,7,20210729T160000_7,107
2021-07-29T16:38:27.430,1.777,-161.145,55.187,61000.0,0.553,0.291,-0.025,13.429,8,20210729T160000_8,108
2021-07-29T17:00:19.253,2.092,-161.035,55.311,61000.0,0.352,0.261,0.011,10.896,9,20210729T160000_9,109
