id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id,event_id_mapped
AV.DOL..BH,2021-07-29T08:41:05.840000,S,0.593,1.838173011492472e-05,9,0.0001504533844952,20210729T080000_9,9
AV.DOL..BH,2021-07-29T09:29:05.540000,S,0.239,4.22356570197735e-05,16,0.0004050876116612,20210729T080000_16,16
AV.DOL..BH,2021-07-29T09:54:32.920000,S,0.392,2.503120958863292e-05,22,0.0004050876116612,20210729T080000_22,22
AV.DOL..BH,2021-07-29T10:17:00.390000,S,0.516,1.811624133551959e-05,30,0.0005979079998146,20210729T080000_30,30
AV.DOL..BH,2021-07-29T10:25:02.000000,S,0.232,5.167388280824525e-06,35,0.0004050876116612,20210729T080000_35,35
AV.DOL..BH,2021-07-29T10:27:46.770000,S,0.502,6.611031494685449e-06,36,0.0004050876116612,20210729T080000_36,36
AV.DOL..BH,2021-07-29T10:54:49.470000,S,0.374,2.201088591391453e-06,41,0.0004050876116612,20210729T080000_41,41
AV.DOL..BH,2021-07-29T11:05:43.140000,S,0.313,6.865645900688833e-06,43,0.0005979079998146,20210729T080000_43,44
AV.DOL..BH,2021-07-29T11:48:37.700000,S,0.238,6.987823780946201e-06,51,0.0004050876116612,20210729T080000_51,51
AV.DOL..BH,2021-07-29T12:18:41.520000,S,0.369,6.3728402892593294e-06,53,0.0004050876116612,20210729T080000_53,53
AV.DOL..BH,2021-07-29T13:49:00.250000,S,0.318,3.767039515878423e-06,65,0.0004050876116612,20210729T080000_65,65
AV.DOL..BH,2021-07-29T14:16:39.220000,S,0.26,1.8363160734224948e-06,68,0.0004050876116612,20210729T080000_68,68
AV.DOL..BH,2021-07-29T14:50:27.730000,S,0.289,8.074163815763313e-06,73,0.0005979079998146,20210729T080000_73,73
AV.DOL..BH,2021-07-29T14:53:20.380000,S,0.206,2.6057296054204926e-06,74,0.0004050876116612,20210729T080000_74,74
AV.DOL..BH,2021-07-29T14:58:52.420000,S,0.238,2.3050235995469848e-06,76,0.0004050876116612,20210729T080000_76,76
AV.DOL..BH,2021-07-29T15:11:23.210000,S,0.803,3.299471927675768e-06,77,0.0001504533844952,20210729T080000_77,77
AV.DOL..BH,2021-07-29T15:30:54.500000,S,0.402,1.855982009146828e-05,81,1.620606399258123e-05,20210729T080000_81,81
AV.DT1..BH,2021-07-29T08:00:00.010000,P,0.308,1.5457273548236117e-05,1,1.620606399258123e-05,20210729T080000_1,1
AV.DT1..BH,2021-07-29T08:03:37.060000,P,0.73,1.058040106727276e-05,2,1.620606399258123e-05,20210729T080000_2,2
AV.DT1..BH,2021-07-29T08:10:29.780000,P,0.356,1.8900927898357622e-05,4,1.620606399258123e-05,20210729T080000_4,4
AV.DT1..BH,2021-07-29T08:13:39.940000,P,0.476,2.042096457444132e-05,5,1.620606399258123e-05,20210729T080000_5,5
AV.DT1..BH,2021-07-29T08:16:34.700000,P,0.829,1.3744686839345375e-05,6,0.0004050876116612,20210729T080000_6,6
AV.DT1..BH,2021-07-29T08:17:57.710000,P,0.337,1.6875033907126635e-05,7,0.0005979079998146,20210729T080000_7,7
AV.DT1..BH,2021-07-29T08:26:14.720000,P,0.606,7.959730282891542e-06,8,1.620606399258123e-05,20210729T080000_8,8
AV.DT1..BH,2021-07-29T08:41:01.300000,P,0.731,1.1591574548219796e-05,9,9.066641910142704e-05,20210729T080000_9,9
AV.DT1..BH,2021-07-29T08:56:06.160000,P,0.48,6.052648586774012e-06,10,1.620606399258123e-05,20210729T080000_10,10
AV.DT1..BH,2021-07-29T08:58:30.400000,P,0.477,8.250165592471603e-06,11,0.0005979079998146,20210729T080000_11,11
AV.DT1..BH,2021-07-29T09:08:34.190000,P,0.856,4.216547949909e-06,12,0.0004050876116612,20210729T080000_12,12
AV.DT1..BH,2021-07-29T09:17:52.020000,P,0.371,2.4037367438722868e-06,13,0.0004050876116612,20210729T080000_13,13
AV.DT1..BH,2021-07-29T09:23:38.020000,P,0.892,2.602583435873385e-06,14,0.0004050876116612,20210729T080000_14,14
AV.DT1..BH,2021-07-29T09:27:02.980000,P,0.867,3.137935664199176e-06,15,1.620606399258123e-05,20210729T080000_15,15
AV.DT1..BH,2021-07-29T09:29:05.030000,P,0.853,1.5862828149693087e-05,16,0.0001504533844952,20210729T080000_16,16
AV.DT1..BH,2021-07-29T09:38:15.840000,P,0.327,2.4725720777496463e-06,18,1.620606399258123e-05,20210729T080000_18,18
AV.DT1..BH,2021-07-29T09:44:01.590000,P,0.567,2.1900177671341226e-06,19,0.0001504533844952,20210729T080000_19,19
AV.DT1..BH,2021-07-29T09:45:29.280000,P,0.489,3.001182903972221e-06,20,0.0004050876116612,20210729T080000_20,20
