time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id
2021-01-03T04:02:52.176,1.699,-161.262,54.903,57779.058,0.301,0.443,0.016,6.0,6,20210103T000000_6
2021-01-03T04:03:03.494,1.808,-161.327,54.904,46562.091,0.625,0.271,0.018,7.0,7,20210103T000000_7
2021-01-03T05:08:27.159,1.682,-162.773,54.902,34637.612,0.474,0.429,0.094,8.0,8,20210103T000000_8
2021-01-03T05:08:55.667,0.91,-162.292,55.003,0.0,0.799,0.518,-0.047,6.0,9,20210103T000000_9
2021-01-03T05:30:21.293,2.15,-161.449,54.904,45272.238,0.399,0.278,0.014,10.537,10,20210103T000000_10
2021-01-03T05:30:26.024,2.466,-162.792,55.759,61000.0,0.43,0.222,0.016,5.947,11,20210103T000000_11
2021-01-03T06:02:18.030,1.999,-161.29,54.903,61000.0,0.329,0.378,-0.007,10.0,12,20210103T000000_12
2021-01-03T06:02:32.562,1.635,-161.293,54.903,31417.506,0.324,0.339,0.014,5.0,13,20210103T000000_13
2021-01-03T06:04:23.292,1.613,-161.517,54.904,36469.248,0.231,0.294,0.014,7.0,14,20210103T000000_14
2021-01-03T06:04:35.196,2.384,-161.407,54.904,61000.0,0.343,0.144,0.025,7.357,15,20210103T000000_15
2021-01-03T06:05:05.095,1.21,-161.938,55.161,854.862,0.862,0.344,0.029,9.939,16,20210103T000000_16
2021-01-03T07:02:56.222,1.227,-161.357,54.904,19570.901,0.255,0.458,0.011,5.0,17,20210103T000000_17
2021-01-03T07:03:08.217,1.252,-161.256,54.903,21137.564,0.534,0.32,-0.03,4.0,18,20210103T000000_18
2021-01-03T07:19:40.510,1.593,-161.008,54.914,38633.739,0.263,0.507,0.007,6.0,20,20210103T000000_20
2021-01-03T07:19:48.008,1.699,-161.008,54.902,50041.933,0.708,0.4,0.047,6.0,19,20210103T000000_19
2021-01-03T07:24:09.939,2.197,-161.008,54.902,61000.0,0.881,0.321,-0.188,17.0,21,20210103T000000_21
2021-01-03T07:59:51.206,1.836,-161.654,54.905,61000.0,1.163,0.43,-0.16,11.032,1,20210103T080000_1
2021-01-03T08:00:00.348,1.859,-161.247,54.903,0.0,0.149,0.249,-0.02,4.968,2,20210103T080000_2
2021-01-03T08:41:01.859,2.132,-161.465,54.904,45223.535,0.381,0.305,0.016,10.581,3,20210103T080000_3
2021-01-03T08:41:06.611,2.49,-162.792,55.751,61000.0,0.444,0.239,0.014,5.847,4,20210103T080000_4
2021-01-03T08:46:02.462,2.676,-161.431,55.608,61000.0,0.506,0.168,-0.003,12.0,5,20210103T080000_5
2021-01-03T08:46:43.589,3.056,-160.986,55.887,44015.342,0.418,0.194,0.047,4.0,6,20210103T080000_6
2021-01-03T08:50:12.533,0.659,-161.868,55.146,7951.533,0.158,0.47,-0.012,5.0,7,20210103T080000_7
2021-01-03T09:20:31.927,1.084,-161.097,54.902,1053.065,0.133,0.435,0.001,4.0,8,20210103T080000_8
2021-01-03T09:20:45.540,1.114,-161.412,54.904,30971.693,0.143,0.387,-0.009,4.0,9,20210103T080000_9
2021-01-03T10:22:43.307,1.09,-161.706,55.079,21212.014,0.348,0.431,-0.041,8.0,10,20210103T080000_10
2021-01-03T10:22:53.339,1.538,-161.553,54.904,30303.29,0.339,0.346,-0.008,6.0,11,20210103T080000_11
